d_Nodes_0,69-4 型潜水装具,Nodes,69-4 型潜水装具(图 8-1）主要由压缩空气瓶、潜水服、供气调节器、面罩、压铅、脚蹼、信号绳及附属器材等部件组成。装具设计性能:下潜深度 40m 以浅，气瓶容积 12L，极限工作压强20MPa。
d_Nodes_1,压缩空气瓶,Nodes,压缩空气瓶是储存供潜水员呼吸使用的压缩空气的容器，包括气瓶、气瓶阀、信号阀、安全阀及气瓶背架。气瓶总成有两种可供选择:钢质气瓶总成和铝合金气瓶总成，如图 8-2所示。压缩空气瓶通常由以下几部分组成。
d_Nodes_2,潜水服,Nodes,潜水服的作用是防寒保暖，并保护潜水员在水下工作时身体免受伤害。潜水服分为干式潜水服(图8-6)和湿式潜水服(图 8-7)。
d_Nodes_3,供气调节器,Nodes,供气调节器是根据潜水深度和劳动强度等条件的需要，把气瓶所储存的压缩空气自动调节成符合该条件下潜水员呼吸所需要压强和流量的重要装置。供气调节器由一级减压器、二级减压器和中压软管组成，中压软管工作压强为 1.5MPa。
d_Nodes_4,面罩,Nodes,面罩的主要用途是在眼睛和水之间保持一个空气层，使潜水员的眼睛和鼻子免受水的刺激，另外，光线最终由空气进入眼睛，水中景物成像能聚焦在眼球的视网膜上，使潜水员在水下获得更好的清晰度和能见度，从而改善水下视觉。
d_Nodes_5,压铅,Nodes,压铅用于调整潜水员在水下的浮力。每套潜水装具配有 8块压铅，每块重量为1kg压铅分有扣式和带式两种(图 8-15)，潜水时潜水员可结合自身体重、水流和作业环境等因素戴使用。
d_Nodes_6,脚蹼,Nodes,脚蹼是用压模橡胶制成的助游器材，可提升潜水员在水中运动速度。脚蹼一般可分两种类型，即游泳型和动力型(图 8-16)。
d_Nodes_7,信号绳,Nodes,"信号绳是潜水员与水面保障人员相互联系的纽带,主要作用是保障信号联络与水下安全。信号绳必须牢固，浮力为中性或具有负浮力。当潜水员单独工作或潜水环境恶劣，以及新潜水员训练或作业时，应使用信号绳以保障安全。"
d_Nodes_8,附属器材,Nodes,
d_Nodes_9,下潜深度,Nodes,
d_Nodes_10,气瓶容积,Nodes,
d_Nodes_11,极限工作压强,Nodes,
d_Nodes_12,下潜深度40m 以浅,Nodes,
d_Nodes_13,气瓶容积12L,Nodes,
d_Nodes_14,极限工作压强20MPa,Nodes,
d_Nodes_15,容器,Nodes,
d_Nodes_16,储存供潜水员呼吸使用的压缩空气,Nodes,
d_Nodes_17,气瓶,Nodes,
d_Nodes_18,气瓶阀,Nodes,
d_Nodes_19,信号阀,Nodes,
d_Nodes_20,安全阀,Nodes,
d_Nodes_21,气瓶背架,Nodes,
d_Nodes_22,气瓶总成,Nodes,压缩空气瓶是储存供潜水员呼吸使用的压缩空气的容器，包括气瓶、气瓶阀、信号阀、安全阀及气瓶背架。气瓶总成有两种可供选择:钢质气瓶总成和铝合金气瓶总成，如图 8-2所示。压缩空气瓶通常由以下几部分组成。
d_Nodes_23,钢质气瓶总成,Nodes,
d_Nodes_24,铝合金气瓶总成,Nodes,
d_Nodes_25,防寒保暖,Nodes,
d_Nodes_26,保护潜水员在水下工作时身体免受伤害,Nodes,
d_Nodes_27,干式潜水服,Nodes,
d_Nodes_28,湿式潜水服,Nodes,
d_Nodes_29,重要装置,Nodes,
d_Nodes_30,把气瓶所储存的压缩空气自动调节成符合该条件下潜水员呼吸所需要压强和流量,Nodes,
d_Nodes_31,一级减压器,Nodes,
d_Nodes_32,二级减压器,Nodes,
d_Nodes_33,中压软管,Nodes,供气调节器是根据潜水深度和劳动强度等条件的需要，把气瓶所储存的压缩空气自动调节成符合该条件下潜水员呼吸所需要压强和流量的重要装置。供气调节器由一级减压器、二级减压器和中压软管组成，中压软管工作压强为 1.5MPa。
d_Nodes_34,1.5MPa,Nodes,
d_Nodes_35,69-4 型潜水装具的面罩,Nodes,69-4 型潜水装具的面罩分半面罩和全面罩，可根据实际使用情况加以选择。
d_Nodes_36,半面罩,Nodes,
d_Nodes_37,全面罩,Nodes,
d_Nodes_38,潜水员的眼睛和鼻子免受水的刺激,Nodes,
d_Nodes_39,改善水下视觉,Nodes,
d_Nodes_40,常用的面罩,Nodes,常用的面罩包括以下几种。（一）M102B 型半面罩 （二）M126 型半面罩 （三）M273 型半面罩 （四）QM201 全面罩
d_Nodes_41,M102B 型半面罩,Nodes,M102B 型半面罩(图 8-11)由面窗玻璃、面框、面垫、排气片、排气罩、头带、卡扣、调节夹等部件组成。该型面罩与其他面罩不同之处是在其底部装有单向排气阀，可通过此阀进行排气和排水。
d_Nodes_42,M126 型半面罩,Nodes,M126 型半面罩(图 8-12）由面窗玻璃、面罩框、面垫、头带、卡扣、调节夹等部件组成。
d_Nodes_43,M273 型半面罩,Nodes,M273 型半面罩(图8-13)采用无框架设计，视野开阔，面垫柔软舒适，贴合面部轮廓
